time stamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,speed,latitude,longitude
2979.490194,-0.02,-0.76,0.4,-0.63,-0.29,0.0,,, 
2979.689969,-0.07,-0.39,0.59,-0.63,-0.34,0.09,,, 
2979.887986,-0.05,-0.9,0.41,-0.5,-0.38,0.04,,, 
2980.089689,0.24,-1.12,0.36,-0.19,-0.03,-0.03,7.25,30.70108029062925, 76.82375910699072
2980.289435,0.08,-1.03,0.51,-0.14,-0.15,-0.04,,, 
2980.487487,0.09,-0.97,0.5,-0.31,-0.06,-0.05,,, 
2980.687267,-0.1,-0.81,0.45,-0.03,-0.01,-0.06,,, 
2980.885319,0.12,-0.75,0.4,0.17,-0.06,0.02,,, 
2981.085088,0.09,-0.98,0.38,-0.2,-0.07,-0.03,8.07,30.70106289818017, 76.82383395738604
2981.283153,-0.02,-0.89,0.46,-0.37,-0.09,-0.03,,, 
2981.482936,-0.1,-0.87,0.4,-0.29,0.01,0.0,,, 
2981.681044,0.18,-0.81,0.38,-0.12,-0.01,0.03,,, 
2981.880828,-0.06,-0.69,0.37,-0.32,-0.42,-0.06,,, 
2982.078927,-0.07,-0.94,0.44,-0.16,-0.02,0.05,8.95,30.701048565125745, 76.82391844697001
2982.278717,-0.16,-0.44,0.46,0.24,0.05,-0.05,,, 
2982.476775,-0.09,-0.62,0.44,0.19,0.02,0.01,,, 
2982.676561,-0.11,-0.78,0.36,0.33,0.15,0.09,,, 
2982.874665,-0.19,-1.06,0.32,-0.08,0.15,-0.02,,, 
2983.074469,0.02,-1.19,0.31,-0.44,-0.07,-0.13,9.06,30.70103507026164, 76.82400788187685
2983.272516,0.25,-1.25,0.33,-0.66,-0.24,-0.08,,, 
2983.472279,0.3,-1.09,0.31,-0.27,-0.4,0.03,,, 
2983.670363,0.16,-1.17,0.25,-0.39,-0.3,-0.01,,, 
2983.870161,0.01,-0.86,0.26,-0.03,0.0,-0.02,,, 
2984.06821,0.03,-1.1,0.26,-0.33,-0.2,-0.05,9.11,30.70101088847099, 76.82410452522042
2984.267972,0.05,-0.72,0.12,0.17,0.03,-0.03,,, 
2984.46602,-0.09,-0.96,0.5,-0.2,0.26,-0.14,,, 
2984.665801,-0.05,-1.04,0.47,-0.38,0.09,-0.05,,, 
2984.863819,0.22,-1.18,0.22,-0.36,-0.31,0.14,,, 
2985.063576,0.19,-0.98,0.42,0.13,-0.47,0.1,8.39,30.701004769681674, 76.82419555268886
2985.26161,0.16,-0.72,0.16,0.77,0.06,-0.1,,, 
2985.46132,-0.26,-0.83,0.2,0.12,0.34,-0.12,,, 
2985.659421,-0.11,-1.11,0.75,-0.94,-0.96,-0.0,,, 
2985.859212,-0.26,-1.34,0.7,-0.7,-1.07,0.03,,, 
2986.057304,-0.36,-1.58,0.62,-0.61,-0.27,0.35,7.77,30.700978785781842, 76.82427325293126
2986.257093,0.18,-1.2,0.56,0.06,-1.06,0.59,,, 
2986.455185,0.43,-0.85,-0.05,-0.53,-0.17,-0.29,,, 
2986.654981,0.23,-1.16,0.25,0.02,0.0,0.09,,, 
2986.853111,0.09,-0.88,0.07,-0.02,0.25,0.04,,, 
2987.052937,0.18,-1.03,0.03,0.94,0.26,0.22,7.37,30.700967009207886, 76.82434156544211
2987.251004,-0.08,-1.52,0.45,-1.63,-0.34,0.03,,, 
2987.450783,0.25,-1.39,-0.05,0.05,-0.86,0.16,,, 
2987.648863,0.51,-1.21,0.26,-0.18,0.04,-0.11,,, 
2987.848642,0.1,-1.05,0.58,-0.23,-0.13,0.01,,, 
2988.046709,0.37,-1.19,0.56,0.48,-0.03,0.01,,, 
2988.246523,0.2,-1.29,0.5,0.66,0.2,-0.01,6.72,30.70095150268702, 76.82441566146615
2988.444627,0.37,-1.45,0.73,-0.01,-0.12,0.07,,, 
2988.644426,0.27,-1.3,0.16,-0.06,-0.24,-0.07,,, 
2988.842561,0.04,-0.78,0.36,-0.1,0.02,-0.11,,, 
2989.042367,0.03,-0.81,0.34,-0.37,-0.08,-0.06,,, 
2989.240444,-0.16,-1.09,0.47,-0.57,-0.59,0.11,7.08,30.700941234855634, 76.82448514744344
2989.440241,0.18,-1.01,0.41,0.05,-0.11,0.03,,, 
2989.638299,0.07,-0.65,0.31,-0.1,0.16,-0.12,,, 
2989.838079,-0.08,-0.52,0.49,-0.23,-0.24,-0.01,,, 
2990.036201,0.04,-0.76,0.4,-0.1,0.06,-0.11,,, 
2990.235955,0.05,-0.94,0.45,0.37,0.18,0.05,7.41,30.700935535161477, 76.82456066839102
2990.43403,0.33,-0.8,0.45,0.12,0.5,-0.15,,, 
2990.633794,0.08,-0.91,0.19,-0.68,-0.13,0.06,,, 
2990.831907,0.01,-1.07,0.62,-0.27,-0.01,-0.01,,, 
2991.03171,-0.26,-0.82,0.22,-0.02,-0.11,-0.17,,, 
2991.229835,-0.46,-0.52,0.36,-0.44,-0.41,-0.05,8.23,30.700927362805885, 76.8246412184805
2991.429631,-0.35,-0.29,0.3,-0.09,-0.05,-0.1,,, 
2991.627706,-0.01,-0.76,0.45,0.09,0.26,-0.11,,, 
2991.82746,0.48,-0.72,0.32,-0.09,0.47,-0.22,,, 
2992.025575,-0.08,-0.74,0.52,-0.0,-0.16,-0.05,,, 
2992.225339,-0.33,-1.04,0.5,-0.04,-0.24,-0.01,8.83,30.700919861002546, 76.82473115630152
2992.423436,-0.15,-0.92,0.58,-0.02,-0.09,-0.07,,, 
2992.623235,0.02,-0.89,0.34,-0.52,0.2,-0.14,,, 
2992.821307,-0.07,-0.75,0.56,-0.16,-0.01,-0.13,,, 
2993.021093,0.38,-0.71,0.51,-0.13,-0.04,-0.12,,, 
2993.219171,0.12,-0.76,0.28,-0.24,0.02,-0.02,9.23,30.700906910962146, 76.82481665171387
2993.418992,0.18,-0.95,0.35,0.08,0.09,-0.04,,, 
2993.61708,0.24,-0.86,0.37,0.21,0.16,-0.04,,, 
2993.816885,-0.19,-1.17,0.54,0.59,0.08,0.06,,, 
2994.014955,0.2,-1.16,0.45,0.54,0.28,-0.07,,, 
2994.214713,0.24,-1.07,0.34,0.99,0.41,-0.07,9.74,30.70092690180121, 76.82492285042706
2994.412772,0.17,-1.14,0.32,-0.08,0.18,-0.11,,, 
2994.612578,0.3,-0.8,0.29,-0.28,-0.32,-0.03,,, 
