Time,x_mean_acc,y_mean_acc,z_mean_acc,x_mean_gyro,y_mean_gyro,z_mean_gyro,mean_speed,x_std_acc,y_std_acc,z_std_acc,x_std_gyro,y_std_gyro,z_std_gyro,std_speed,x_max_acc,y_max_acc,z_max_acc,x_max_gyro,y_max_gyro,z_max_gyro,x_min_acc,y_min_acc,z_min_acc,x_min_gyro,y_min_gyro,z_min_gyro,latitude,longitude,Pothole
0.4,-0.1,-0.865,-0.4975,0.135,-0.26249999999999996,-0.1325,9.44,0.007071067811865477,0.08291561975888499,0.057608593109014554,0.14773286702694158,0.5884035604922866,0.14956186011146025,0.0,-0.09,-0.75,-0.42,0.34,0.13,-0.02,-0.11,-0.97,-0.58,-0.02,-1.28,-0.39,30.34849991244017,76.35046339374995,0
1.2,-0.075,-0.83,-0.45999999999999996,-0.057499999999999996,0.034999999999999996,-0.057499999999999996,9.5775,0.008660254037844388,0.035355339059327355,0.046368092477478536,0.18779976038323373,0.0792148975887743,0.014790199457749039,0.23815698604072094,-0.06,-0.79,-0.41,0.07,0.1,-0.04,-0.08,-0.87,-0.52,-0.38,-0.1,-0.08,30.3485109849323,76.35054900941292,0
2.0,-0.025,-0.7649999999999999,-0.595,-0.2625,0.32,-0.0475,9.99,0.09420721840708386,0.03201562118716427,0.05220153254455275,0.43280336181688794,0.26953663943887113,0.1042532973099652,0.0,0.09,-0.72,-0.51,0.04,0.58,0.04,-0.17,-0.8,-0.65,-1.01,-0.13,-0.22,30.3485109849323,76.35054900941292,0
2.8,-0.025,-0.8225,-0.43000000000000005,0.13999999999999999,-0.145,-0.0325,10.19,0.08558621384311844,0.06869315832017045,0.10977249200050074,0.5077893263943227,0.40647878173405316,0.1059186008215743,0.0,0.09,-0.74,-0.32,1.0,0.38,0.15,-0.13,-0.92,-0.61,-0.29,-0.74,-0.11,30.348523984360607,76.35064952520295,0
3.6,-0.1175,-0.84,-0.485,-0.21750000000000003,-0.05999999999999999,0.030000000000000002,10.37,0.08437268515343102,0.06519202405202651,0.0753325958665968,0.27967615200442103,0.20868636754709205,0.1077032961426901,0.10392304845413274,-0.02,-0.73,-0.4,0.19,0.14,0.17,-0.25,-0.9,-0.6,-0.54,-0.36,-0.11,30.348542961623178,76.35077134626434,0
4.3999999999999995,-0.11750000000000001,-0.73,-0.66,-0.335,-0.185,-0.09500000000000001,10.594999999999999,0.014790199457749042,0.04062019202317979,0.05338539126015656,0.4512482686947398,0.40746165463758677,0.2721672280051366,0.09526279441628853,-0.1,-0.66,-0.61,0.01,0.08,0.2,-0.14,-0.76,-0.75,-1.1,-0.89,-0.54,30.348550212702808,76.35088334964237,0
5.2,-0.125,-0.695,-0.685,-0.015000000000000001,0.065,-0.0225,10.555,0.029580398915498084,0.06422616289332567,0.020615528128088274,0.005,0.0050000000000000044,0.004330127018922192,0.16454482671904366,-0.09,-0.59,-0.65,-0.01,0.07,-0.02,-0.17,-0.76,-0.7,-0.02,0.06,-0.03,30.348579713076678,76.35099191426384,0
5.999999999999999,-0.125,-0.7525,-0.625,-0.022500000000000003,0.06,-0.03,10.27,0.011180339887498954,0.042646805273079985,0.011180339887498959,0.004330127018922193,0.0,0.007071067811865475,0.0,-0.11,-0.71,-0.61,-0.02,0.06,-0.02,-0.14,-0.8,-0.64,-0.03,0.06,-0.04,30.348579713076678,76.35099191426384,0
6.799999999999999,-0.1225,-0.8099999999999999,-0.5824999999999999,-0.0075,0.0625,-0.05,9.99,0.028613807855648994,0.07245688373094722,0.016393596310755015,0.017853571071357127,0.010897247358851683,0.014142135623730954,0.0,-0.09,-0.7,-0.57,0.01,0.08,-0.03,-0.16,-0.88,-0.61,-0.03,0.05,-0.07,30.34860711218195,76.35109395819775,0
7.599999999999999,-0.11499999999999999,-0.805,-0.525,-0.022500000000000003,0.0375,-0.030000000000000002,10.087499999999999,0.015000000000000001,0.047696960070847276,0.054083269131959835,0.021650635094610966,0.014790199457749039,0.0158113883008419,0.05629165124598808,-0.09,-0.74,-0.44,0.01,0.06,-0.01,-0.13,-0.86,-0.59,-0.05,0.02,-0.05,30.348621167674146,76.35119276175664,0
8.399999999999999,-0.0975,-0.785,-0.5874999999999999,-0.037500000000000006,0.0475,-0.017499999999999998,10.72,0.03344772040064913,0.07632168761236872,0.04815340071064556,0.017853571071357124,0.004330127018922195,0.016393596310755,0.34641016151377574,-0.06,-0.68,-0.52,-0.01,0.05,0.01,-0.15,-0.88,-0.65,-0.06,0.04,-0.03,30.34863434704499,76.3513016656941,0
9.2,-0.1575,-0.7050000000000001,-0.6525,-0.02,0.04750000000000001,-0.015000000000000001,11.114999999999998,0.02861380785564899,0.061846584384264915,0.038324274291889726,0.01,0.0082915619758885,0.01802775637731995,0.3377499074759308,-0.12,-0.6,-0.61,-0.01,0.06,0.01,-0.19,-0.75,-0.7,-0.03,0.04,-0.04,30.34864598137771,76.35141105191133,0
10.0,-0.10750000000000001,-0.8875,-0.5475,-0.007500000000000001,0.0575,-0.024999999999999998,11.7,0.05629165124598852,0.17512495538900213,0.03960744879438715,0.02384848003542364,0.010897247358851685,0.008660254037844387,0.0,-0.01,-0.7,-0.48,0.02,0.07,-0.01,-0.14,-1.17,-0.58,-0.04,0.04,-0.03,30.34864598137771,76.35141105191133,0
10.8,-0.13,-0.74,-0.6275000000000001,-0.015000000000000001,0.06,-0.01,11.6,0.03937003937005905,0.09027735042633894,0.04968651728587948,0.025,0.007071067811865477,0.0,0.0,-0.07,-0.61,-0.56,0.01,0.07,-0.01,-0.18,-0.86,-0.68,-0.04,0.05,-0.01,30.348651568508558,76.35146358220041,0
11.6,-0.1325,-0.7375,-0.6525,-0.030000000000000002,0.07500000000000001,-0.025,11.9375,0.035619517121937526,0.02680951323690904,0.02165063509461094,0.007071067811865475,0.0049999999999999975,0.011180339887498949,0.19485571585149913,-0.08,-0.71,-0.64,-0.02,0.08,-0.01,-0.17,-0.78,-0.69,-0.04,0.07,-0.04,30.34867308343425,76.35163813494094,0
12.399999999999999,-0.1575,-0.7799999999999999,-0.5975,-0.027500000000000004,0.05,-0.0375,12.110000000000001,0.028613807855648994,0.040620192023179805,0.038971143170299746,0.01299038105676658,0.03674234614174767,0.03031088913245535,0.05999999999999961,-0.12,-0.74,-0.56,-0.01,0.08,-0.02,-0.19,-0.83,-0.66,-0.04,-0.01,-0.09,30.34868827793718,76.3517598198912,0
13.124999999999998,-0.165,-0.6799999999999999,-0.7200000000000001,-0.0375,0.0625,-0.06,12.157499999999999,0.028722813232690138,0.12349089035228468,0.06819090848492929,0.01299038105676658,0.01299038105676658,0.021213203435596427,0.021650635094611275,-0.13,-0.52,-0.64,-0.03,0.08,-0.03,-0.21,-0.84,-0.81,-0.06,0.05,-0.08,30.3487036542916,76.3518829611821,0
13.899999999999999,-0.11750000000000001,-0.7200000000000001,-0.6375,-0.027499999999999997,0.019999999999999997,-0.0325,12.12,0.07189401922274204,0.0784219357067906,0.049686517285879486,0.0248746859276655,0.0291547594742265,0.016393596310755,0.0,-0.03,-0.62,-0.57,0.01,0.06,-0.02,-0.23,-0.83,-0.69,-0.06,-0.02,-0.06,30.3487036542916,76.3518829611821,0
14.7,-0.11499999999999999,-0.7150000000000001,-0.66,-0.012499999999999999,0.052500000000000005,-0.04,11.7,0.06726812023536856,0.04924428900898055,0.07449832212875673,0.020463381929681126,0.022776083947860744,0.01414213562373095,0.0,-0.02,-0.68,-0.57,0.02,0.09,-0.02,-0.2,-0.8,-0.77,-0.03,0.03,-0.06,30.348719614366466,76.35200599577689,0
15.5,-0.1325,-0.7175,-0.65,-0.03,0.0675,-0.02,11.5275,0.012990381056766585,0.0769334127671456,0.012247448713915901,0.007071067811865475,0.01299038105676658,0.012247448713915891,0.09959292143520987,-0.11,-0.61,-0.63,-0.02,0.08,-0.01,-0.14,-0.8,-0.66,-0.04,0.05,-0.04,30.34873383605413,76.3521151757777,0
16.300000000000004,-0.0875,-0.7224999999999999,-0.6749999999999999,-0.01,0.037500000000000006,-0.015,11.280000000000001,0.053560713214071375,0.084372685153431,0.03570714214271423,0.021213203435596427,0.014790199457749039,0.01802775637731995,0.1900000000000004,-0.05,-0.62,-0.63,0.02,0.06,0.01,-0.18,-0.84,-0.71,-0.04,0.02,-0.04,30.348739149408164,76.35215596645631,0
17.1,-0.11499999999999999,-0.7725,-0.665,-0.025,0.06,-0.027500000000000004,10.9775,0.051720402163943,0.06869315832017045,0.03570714214271423,0.004999999999999999,0.007071067811865477,0.0082915619758885,0.1948557158514984,-0.04,-0.69,-0.62,-0.02,0.07,-0.02,-0.18,-0.88,-0.7,-0.03,0.05,-0.04,30.348762088578344,76.35232419955562,0
17.900000000000002,-0.1275,-0.7874999999999999,-0.7,-0.0325,0.04,-0.0175,10.64,0.03112474899497183,0.06533567172685992,0.03535533905932737,0.004330127018922195,0.007071067811865477,0.0082915619758885,0.0,-0.08,-0.74,-0.67,-0.03,0.05,-0.01,-0.16,-0.9,-0.76,-0.04,0.03,-0.03,30.348762088578344,76.35232419955562,0
18.7,-0.1575,-0.77,-0.6175,0.0075,0.045,-0.0475,10.14,0.02772634126602354,0.08916277250063503,0.07949056547792324,0.022776083947860747,0.008660254037844385,0.020463381929681126,0.0,-0.13,-0.67,-0.48,0.03,0.06,-0.03,-0.19,-0.89,-0.67,-0.02,0.04,-0.08,30.348774919774023,76.35243769826666,0
